Date, Time, Elapsed time (sec), Distance (km), Speed (km/h), Latitude, Longitude, Accuracy (meters), Altitude (meters)
30/06/23, 5:11 pm GMT+1, 1443, 38.108655170452636, 34.71938209533692, 55.98454178036969, -3.71477825533221, 5.798985004425049, 69.17411187011749
30/06/23, 5:11 pm GMT+1, 1444, 38.11757065715574, 33.755445098876955, 55.984518192605286, -3.7146410304587545, 5.806645393371582, 69.2047752616927
30/06/23, 5:11 pm GMT+1, 1445, 38.12645243667664, 32.81711311340332, 55.984494297732795, -3.7145045441607554, 6.427038669586182, 69.25383065734059
30/06/23, 5:11 pm GMT+1, 1446, 38.135352083544895, 32.03107223510742, 55.98447003350814, -3.7143679644409913, 7.041836738586426, 69.23917767032981
30/06/23, 5:11 pm GMT+1, 1447, 38.14484015153866, 31.113840866088868, 55.98443579587685, -3.714227982888122, 6.973978519439697, 69.0262034907937
30/06/23, 5:11 pm GMT+1, 1448, 38.15356085561634, 30.392317199707033, 55.984407284473626, -3.7140971386073733, 7.264960289001465, 68.81588818412274
30/06/23, 5:11 pm GMT+1, 1449, 38.16089888703445, 29.20898666381836, 55.98438587880698, -3.7139853497184068, 7.141674041748047, 69.01170583441854
30/06/23, 5:11 pm GMT+1, 1450, 38.16956724443868, 28.411911392211916, 55.984351999167764, -3.7138595962294767, 6.2491984367370605, 69.07831526454538
30/06/23, 5:11 pm GMT+1, 1451, 38.176972552566106, 27.291668128967284, 55.98433896041136, -3.7137426570088072, 6.261997699737549, 69.24722237605602
30/06/23, 5:11 pm GMT+1, 1452, 38.1835463076707, 25.789816474914552, 55.98432014957805, -3.7136422902309847, 6.223691940307617, 69.11000898759812
30/06/23, 5:11 pm GMT+1, 1453, 38.188548442105365, 23.551491165161135, 55.98431819206268, -3.713561822569779, 6.243354797363281, 69.0482529969886
30/06/23, 5:11 pm GMT+1, 1454, 38.19383938390079, 21.21957950592041, 55.98430868119978, -3.7134783421580178, 6.331373691558838, 68.97941961605102
